idx,time,OOB
0,2022-05-31 16:21:47.350000,1
1,2022-05-31 16:21:47.352809,1.2770050174188732
2,2022-05-31 16:21:48.358253,1.0837872567246634
3,2022-05-31 16:21:49.363924,1.3239313248561573
4,2022-05-31 16:21:50.368224,1.1483903807081843
5,2022-05-31 16:21:51.370438,1.3082404152536857
6,2022-05-31 16:21:52.374355,1.5099200917600215
7,2022-05-31 16:21:53.380234,1.6589261499382806
8,2022-05-31 16:21:54.385864,1.9034445483264226
9,2022-05-31 16:21:55.391729,1.7789972571845816
10,2022-05-31 16:21:56.397784,1.6761473676421599
11,2022-05-31 16:21:57.403548,1.9533056899915615
12,2022-05-31 16:21:58.409216,1.7915138391672802
13,2022-05-31 16:21:59.414284,1.7126840864471258
14,2022-05-31 16:22:00.420135,1.773396816766978
15,2022-05-31 16:22:01.425628,1.9265828048001228
16,2022-05-31 16:22:02.440133,1.7693159527839724
17,2022-05-31 16:22:03.441421,2.0054036750816566
18,2022-05-31 16:22:04.447344,2.279634417808639
19,2022-05-31 16:22:05.452869,2.482863369500442
20,2022-05-31 16:22:06.458729,2.491275009131539
21,2022-05-31 16:22:07.463850,2.4809172062604716
22,2022-05-31 16:22:08.469536,2.361005802031985
23,2022-05-31 16:22:09.475498,2.211518677987822
24,2022-05-31 16:22:10.481402,2.421585022380541
25,2022-05-31 16:22:11.486397,2.684997720641472
26,2022-05-31 16:22:12.487806,2.580838111668004
27,2022-05-31 16:22:13.490776,2.522647415916914
28,2022-05-31 16:22:14.496716,2.549488446293551
29,2022-05-31 16:22:15.497996,2.484420600752366
30,2022-05-31 16:22:16.501465,2.700582093688982
31,2022-05-31 16:22:17.507435,2.8871437282936507
32,2022-05-31 16:22:18.513410,3.172543381568339
33,2022-05-31 16:22:19.519073,3.190280112097114
34,2022-05-31 16:22:20.524967,3.288145768597122
35,2022-05-31 16:22:21.530343,3.2435718637876025
36,2022-05-31 16:22:22.536251,3.1166529387662196
37,2022-05-31 16:22:23.538858,2.9170996515513594
38,2022-05-31 16:22:24.540658,3.167541670733035
39,2022-05-31 16:22:25.542779,3.2459380670192246
40,2022-05-31 16:22:26.548455,3.3670169983426983
41,2022-05-31 16:22:27.552699,3.4594808921342612
42,2022-05-31 16:22:28.557388,3.3910705432167676
43,2022-05-31 16:22:29.563318,3.4593372324230236
44,2022-05-31 16:22:30.568311,3.543121461194096
45,2022-05-31 16:22:31.574275,3.8201611066672028
46,2022-05-31 16:22:32.577088,3.805791317954439
47,2022-05-31 16:22:33.581896,3.6298290187020776
48,2022-05-31 16:22:34.583743,3.8802452014263946
49,2022-05-31 16:22:35.586929,3.8806136126426356
50,2022-05-31 16:22:36.589345,3.8082106480129783
51,2022-05-31 16:22:37.589899,3.630979391403735
52,2022-05-31 16:22:38.595644,3.560753394861833
53,2022-05-31 16:22:39.601445,3.8341481711937018
54,2022-05-31 16:22:40.606849,3.8490467258068537
55,2022-05-31 16:22:41.612625,3.839920452869125
56,2022-05-31 16:22:42.614319,3.7928634153696525
57,2022-05-31 16:22:43.618226,3.8230468052510043
58,2022-05-31 16:22:44.624231,3.9655624018790046
59,2022-05-31 16:22:45.630416,3.8624820594308025
60,2022-05-31 16:22:46.635313,3.6829614534235873
61,2022-05-31 16:22:47.636357,3.5099622475606402
62,2022-05-31 16:22:48.642170,3.5908180487855406
63,2022-05-31 16:22:49.643004,3.422789463920072
64,2022-05-31 16:22:50.648484,3.2549461959224164
65,2022-05-31 16:22:51.654266,3.266676671168132
66,2022-05-31 16:22:52.658809,3.1033198617477336
67,2022-05-31 16:22:53.664566,3.2393639368932097
68,2022-05-31 16:22:54.668439,3.051960406641988
69,2022-05-31 16:22:55.674155,3.196014954984272
70,2022-05-31 16:22:56.679950,3.2664162932368637
71,2022-05-31 16:22:57.685454,3.0872850436378245
72,2022-05-31 16:22:58.690946,3.3370968523872198
73,2022-05-31 16:22:59.694753,3.145255664392683
74,2022-05-31 16:23:00.700606,3.3114301823276233
75,2022-05-31 16:23:01.704366,3.5736312154015955
76,2022-05-31 16:23:02.709917,3.793446236139174
77,2022-05-31 16:23:03.715788,3.7139605995875864
78,2022-05-31 16:23:04.717893,3.697157582956949
79,2022-05-31 16:23:05.720855,3.965419431530124
80,2022-05-31 16:23:06.722316,3.9678060842943594
81,2022-05-31 16:23:07.727896,3.9490731815740636
82,2022-05-31 16:23:08.733971,4.244073980608523
83,2022-05-31 16:23:09.739828,4.1804805317988265
84,2022-05-31 16:23:10.745255,4.377515161811907
85,2022-05-31 16:23:11.750149,4.649318131306426
86,2022-05-31 16:23:12.755814,4.8777698738211015
87,2022-05-31 16:23:13.760313,4.728164582067724
88,2022-05-31 16:23:14.765806,4.954196572058095
89,2022-05-31 16:23:15.783446,4.780208757882084
90,2022-05-31 16:23:16.786600,4.7992143382835195
